ensembl_gene_id	hgnc_symbol	logFC_BC	PValue_BC	entrezgene
ENSG00000000003	TSPAN6	-0.634662483342073	4.62583125623057e-06	7105
ENSG00000000005	TNMD	-4.02224750511649	1.66110946668209e-30	64102
ENSG00000000419	DPM1	0.356797580553909	6.12910149562264e-05	8813
ENSG00000000457	SCYL3	0.303383044378524	0.000138470573581052	57147
ENSG00000000460	C1orf112	1.09835528116282	1.73822764061973e-28	55732
ENSG00000000938	FGR	-0.335620274086179	0.0817300886496924	2268
ENSG00000000971	CFH	-1.30885671607777	9.32112582597195e-14	3075
ENSG00000001036	FUCA2	0.243675514019007	0.0108861085756057	2519
ENSG00000001084	GCLC	-0.312517617209626	0.00337200496814591	2729
ENSG00000001167	NFYA	0.484718883310231	1.68947289282304e-09	4800
ENSG00000001460	STPG1	-0.0341862060664501	0.608763531537867	90529
ENSG00000001461	NIPAL3	-0.104247756112909	0.362757943896652	57185
ENSG00000001497	LAS1L	0.362093781910825	2.1431564123969e-08	81887
ENSG00000001561	ENPP4	-0.389813159227597	0.00869116745989719	22875
ENSG00000001617	SEMA3F	1.14610397811157	1.64310469973978e-21	6405
ENSG00000001626	CFTR	-1.54139669406944	3.41275181933334e-09	1080
ENSG00000001629	ANKIB1	0.29317889659457	0.00177781102989415	54467
ENSG00000001630	CYP51A1	0.72228313531102	2.88724953615564e-07	1595
ENSG00000001631	KRIT1	-0.0271087543891933	0.717749996368762	889
ENSG00000002016	RAD52	-0.264633550450038	0.00240100338938903	5893
ENSG00000002330	BAD	0.442917797879813	0.000124328063599586	572
ENSG00000002549	LAP3	0.285288999808993	0.00235503822542913	51056
ENSG00000002586	CD99	-0.0259233956075575	0.867978160409209	4267
ENSG00000002587	HS3ST1	-0.12522672043339	0.442180938821629	9957
ENSG00000002726	AOC1	2.30163407623339	9.7306306274094e-16	26
ENSG00000002745	WNT16	0.500962611462501	0.102001837074225	51384
ENSG00000002746	HECW1	-0.0751884414114015	0.712366785963287	23072
ENSG00000002822	MAD1L1	0.287815147336402	0.0024670049872059	8379
ENSG00000002834	LASP1	0.435314274631887	5.27351427345165e-06	3927
ENSG00000002919	SNX11	-0.0698447507310372	0.293784245653851	29916
ENSG00000002933	TMEM176A	-0.0280802845662318	0.863412539522987	55365
ENSG00000003056	M6PR	0.174098631430868	0.0165938078567683	4074
ENSG00000003096	KLHL13	-2.23982614343187	1.18512093136764e-23	90293
ENSG00000003137	CYP26B1	-2.27397695745885	2.36778679613011e-22	56603
ENSG00000003147	ICA1	0.677875351337808	1.47288517782853e-13	3382
